@RELATION twitter

@ATTRIBUTE tweetID	 NUMERIC
@ATTRIBUTE userID	 NUMERIC
@ATTRIBUTE followers	 NUMERIC
@ATTRIBUTE following	 NUMERIC
@ATTRIBUTE timestamp	 DATE "EEE MMM dd HH:mm:ss zzzz yyyy"
@ATTRIBUTE userReference	 NUMERIC
@ATTRIBUTE links	 NUMERIC
@ATTRIBUTE positiveWords	 NUMERIC
@ATTRIBUTE negativeWords	 NUMERIC
@ATTRIBUTE denials	 NUMERIC
@ATTRIBUTE exclamationMarks	 NUMERIC
@ATTRIBUTE questionMarks	 NUMERIC
@ATTRIBUTE quotationMarks	 NUMERIC
@ATTRIBUTE retweets	 NUMERIC
@ATTRIBUTE uperCaseLetters	 NUMERIC
@ATTRIBUTE lowerCaseLettrers	 NUMERIC
@ATTRIBUTE positiveEmoticons	 NUMERIC
@ATTRIBUTE negativeEmoticons	 NUMERIC
@ATTRIBUTE class	 {-1, 0, 1}

@DATA
205874408806547456,282061203,246,173,"Fri May 25 07:14:18 EEST 2012",0,1,0,0,0,0,0,0,0,16,62,0,0,0
206589267600867328,434383294,469,500,"Sun May 27 06:34:54 EEST 2012",1,0,0,0,0,0,0,0,1,3,16,0,0,-1
206594722100289538,12233812,154,311,"Sun May 27 06:56:34 EEST 2012",0,0,0,0,0,0,0,1,0,3,66,0,0,-1
203941493491253248,215722739,67,13,"Sat May 19 23:13:35 EEST 2012",0,1,0,0,0,0,0,0,0,4,12,0,0,0
204045570732601344,49181658,1264,515,"Sun May 20 06:07:09 EEST 2012",0,0,0,0,0,1,0,0,0,2,26,0,0,0
204059118217076737,323842206,663,529,"Sun May 20 07:00:59 EEST 2012",0,0,0,1,0,0,0,0,0,0,25,0,0,0
204324546487140352,230902413,351,756,"Mon May 21 00:35:42 EEST 2012",1,0,4,0,0,1,0,0,0,4,36,0,0,1
203967279757672449,49613592,233,356,"Sun May 20 00:56:03 EEST 2012",0,0,0,0,0,0,1,0,0,7,91,0,0,1
202517665619771392,431953950,42,137,"Wed May 16 00:55:48 EEST 2012",0,0,0,2,0,1,0,0,0,1,11,0,0,-1
204420612645588994,461735035,119,120,"Mon May 21 06:57:26 EEST 2012",1,0,0,0,0,0,0,0,0,2,49,0,0,0
203957607696838656,246692617,202,243,"Sun May 20 00:17:37 EEST 2012",0,0,0,0,0,0,0,0,0,1,7,0,0,0
205089976554242048,156683129,250,259,"Wed May 23 03:17:15 EEST 2012",0,0,0,1,0,0,0,1,1,1,18,0,0,-1
202118816208130048,76873978,33,579491,"Mon May 14 22:30:55 EEST 2012",0,0,0,0,1,0,0,0,604,1,77,0,0,0
206642507570888705,202898833,394,507,"Sun May 27 10:06:27 EEST 2012",0,0,0,0,0,0,0,0,3,17,0,0,0,1
204187103532302337,322648535,615,168,"Sun May 20 15:29:33 EEST 2012",0,1,1,0,0,0,0,0,0,11,82,0,0,1
203995398686244864,366699352,627,673,"Sun May 20 02:47:47 EEST 2012",0,0,1,0,0,0,0,0,0,1,23,0,0,-1
204286853065609216,368659619,1110,1239,"Sun May 20 22:05:55 EEST 2012",0,0,0,0,0,0,1,0,4,4,2,0,0,1
202494469810036736,148760908,71,1890073,"Tue May 15 23:23:38 EEST 2012",0,0,0,1,1,0,0,0,1121,3,34,0,0,0
205111943281909760,401103608,573,613,"Wed May 23 04:44:32 EEST 2012",0,0,0,0,0,2,0,0,0,14,35,0,0,-1
206517093636648961,353795108,534,1099,"Sun May 27 01:48:06 EEST 2012",0,0,0,0,0,0,0,0,1,1,16,0,0,0
206713454105608193,46059103,5,330,"Sun May 27 14:48:22 EEST 2012",0,1,0,0,0,0,0,0,0,7,81,0,0,1
206535263554502658,162363464,561,611,"Sun May 27 03:00:18 EEST 2012",0,0,0,0,0,0,0,0,0,5,91,0,0,-1
205818594276290560,109171520,284,6259,"Fri May 25 03:32:31 EEST 2012",1,1,0,0,0,0,0,0,69,12,46,0,0,0
